"scenario_id","model_class","family","copula","changed_factor","n_subjects","n_visits","smooth_k","n_observations","warmup_attempted","attempted","converged","retained","failed","failure_reasons","median_elapsed_sec","q1_elapsed_sec","q3_elapsed_sec","median_mcse_sec","median_ci_lower_sec","median_ci_upper_sec","target_relative_mcse","initial_attempt_cap","absolute_attempt_cap","extension_used","precision_met","cell_eligible"
"continuous-base","continuous","NO","N","none",100,4,5,400,1,24,24,24,0,"",0.914999999999978,0.660000000000011,1.09000000000003,0.0886480321488508,0.735000000000014,1.08000000000001,0.1,15,45,TRUE,TRUE,TRUE
"continuous-smooth_basis","continuous","NO","N","smooth_k",100,4,10,400,1,26,26,26,0,"",0.894999999999989,0.589999999999975,1.06500000000001,0.0854913665449139,0.648500000000033,1.04000000000005,0.1,15,45,TRUE,TRUE,TRUE
"continuous-subjects","continuous","NO","N","n_subjects",250,4,5,1000,1,31,31,31,0,"",1.40000000000001,0.960000000000008,1.75,0.137728349137978,1.13,1.64999999999998,0.1,15,45,TRUE,TRUE,TRUE
"continuous-visits","continuous","NO","N","n_visits",100,8,5,800,1,26,26,26,0,"",1.35000000000002,0.857500000000002,1.59999999999999,0.127883874462228,1.04000000000002,1.52999999999997,0.1,15,45,TRUE,TRUE,TRUE
"discrete-base","discrete","NBI","C","none",100,4,5,400,1,34,34,34,0,"",3.15499999999999,2.25,3.88750000000001,0.301009752082552,2.52999999999997,3.58999999999997,0.1,15,45,TRUE,TRUE,TRUE
"discrete-smooth_basis","discrete","NBI","C","smooth_k",100,4,10,400,1,28,28,28,0,"",4.005,2.49,4.91249999999997,0.384816878295904,3.15000000000001,4.68999999999998,0.1,15,45,TRUE,TRUE,TRUE
"discrete-subjects","discrete","NBI","C","n_subjects",250,4,5,1000,1,19,19,19,0,"",6.18000000000001,4.04999999999998,7.19499999999999,0.587001372650234,4.14999999999998,7.01999999999998,0.1,15,45,TRUE,TRUE,TRUE
"discrete-visits","discrete","NBI","C","n_visits",100,8,5,800,1,27,27,27,0,"",6.61000000000001,4.36999999999999,7.47999999999996,0.619584343496988,4.67000000000007,7.25,0.1,15,45,TRUE,TRUE,TRUE
