"model_class","scenario_id","changed_factor","base_attempts","comparison_attempts","base_median_sec","comparison_median_sec","median_difference_sec","difference_mcse_sec","difference_ci_lower_sec","difference_ci_upper_sec","median_runtime_ratio","ratio_mcse","ratio_ci_lower","ratio_ci_upper"
"continuous","continuous-subjects","n_subjects",24,31,0.914999999999978,1.40000000000001,0.485000000000028,0.165418336503856,0.144999999999982,0.800250000000042,1.53005464480879,0.220240386824162,1.14720812182739,2.01234567901237
"continuous","continuous-visits","n_visits",24,26,0.914999999999978,1.35000000000002,0.435000000000045,0.150500608132582,0.119500000000004,0.699999999999935,1.47540983606563,0.201266541175857,1.11320754716982,1.8786698717949
"continuous","continuous-smooth_basis","smooth_k",24,26,0.914999999999978,0.894999999999989,-0.0199999999999889,0.120610869541652,-0.270000000000053,0.190000000000055,0.978142076502744,0.134681966699412,0.702807726864305,1.24110316265064
"discrete","discrete-subjects","n_subjects",34,19,3.15499999999999,6.18000000000001,3.02500000000002,0.690650468444455,0.799999999999983,3.96674999999992,1.95879556259906,0.282583471398881,1.24232952006435,2.45468100487982
"discrete","discrete-visits","n_visits",34,27,3.15499999999999,6.61000000000001,3.45500000000003,0.684592008367988,1.65499999999997,4.19525000000005,2.09508716323298,0.288948084903818,1.47694524351377,2.64400000000001
"discrete","discrete-smooth_basis","smooth_k",34,28,3.15499999999999,4.005,0.850000000000009,0.488133724865411,-0.14074999999992,1.79550000000001,1.26941362916007,0.181743242854779,0.958535134378496,1.67245558100662
