"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"sigma",10,0.0393555750074076,0.0462367111641725,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",34,0.0517206237076353,0.0726219630941166,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",10,0.0423875383933658,0.0467737822114864,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",11,0.024140772415385,0.0315068717319487,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",35,0.0484696905621752,0.0568473067775704,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",11,0.0742626783114606,0.0869909705481257,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",35,0.0274227925409712,0.0318109813056447,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",11,0.0465368055774967,0.0541257893968318,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",12,0.0163790876623755,0.0209841215838965,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",36,0.0339265007436182,0.0466279672971071,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",12,0.0561497153352334,0.0657835459506806,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",36,0.0407410710105294,0.0489068150718495,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",12,0.061090770847484,0.0667357248818171,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",13,0.0173869153652458,0.0232985840707392,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",37,0.0357593659541642,0.0446499128567194,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",13,0.073248439380392,0.098926693304159,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",37,0.0302732038993532,0.0358947863177861,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",13,0.0737603113679219,0.0886804954283534,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",14,0.0268669154631069,0.035397492984016,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",38,0.0428546743724336,0.0483026820410905,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",14,0.0387283334442489,0.0439154180521612,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",38,0.0134642994359427,0.0158551241413275,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",14,0.0347360827219938,0.0408671162324788,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",15,0.02883783157241,0.040693955728511,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",39,0.056842451399707,0.06615599221093,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",15,0.0396030012183025,0.047255573261537,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",39,0.042236737211339,0.0463728682015464,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",15,0.0345842899633881,0.0405180917574093,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",16,0.0277956463355684,0.0383748177256312,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",40,0.0665696382660902,0.0759644378208924,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",16,0.0421579695027896,0.0482844889840553,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",40,0.126995492918296,0.1485286795397,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",16,0.0442101739357665,0.0592500497710026,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",17,0.0227687970861082,0.0335794587239555,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",41,0.0476619662866468,0.0547141471506194,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",17,0.0561412735984693,0.0767544560075039,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",41,0.0352944920752323,0.0431473793384708,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",17,0.0548176896379226,0.0697919482192299,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",18,0.0284504050855513,0.0346642924999087,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",42,0.0478559930006313,0.0540998870660802,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",18,0.0242153717928748,0.0306018305874096,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",42,0.0322913300836345,0.0380167360325405,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",18,0.042681940805058,0.0469591013825658,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",19,0.0207173383005892,0.0253528492337025,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",43,0.0536702951582094,0.0663432708060799,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",19,0.0659247207574169,0.0773206892865699,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",43,0.0371718621978366,0.0461668556819374,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",19,0.0527617718034161,0.062198433318829,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",20,0.0254894701113565,0.0386702353905373,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",44,0.0402447167694053,0.049245387713008,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",20,0.0392777814043312,0.0445717958307639,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",44,0.0418422647532096,0.0497707158375776,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",20,0.0486069019701869,0.0572149466966258,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",21,0.0325782496740867,0.0403860316963077,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",45,0.0377256241914456,0.0408169573188345,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",21,0.0294936590642938,0.038288448903484,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",45,0.0440347013084058,0.0513810754974165,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",21,0.0271977696950933,0.0312425173362088,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",22,0.0251622459990472,0.0279583533905833,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",46,0.0702961503076714,0.0851265197259164,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",22,0.065040649281847,0.0767507955844033,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",46,0.0507853026633666,0.0633566239060857,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",22,0.0245733210655412,0.033212692245571,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",23,0.027599828461348,0.0403852994972154,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",47,0.0435691431208017,0.0517779007356797,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",23,0.0295932917223385,0.037776904213226,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",47,0.0298541356289855,0.040737852808193,-1510.08638146783,NA
