"scenario","n","d","rep","model","success","logLik","df","converged","hit_outer_limit","hit_max_stall","hit_raw_loglik_deterioration","stop_reason","grad_inf","step_l2","best_raw_loglik","best_raw_loglik_iteration","raw_loglik_drop_from_best","raw_loglik_drop_tol","outer_iterations","outer_log_lik_change","outer_stop_crit","elapsed_sec","error"
"n500_d4",500,4,15,"gamlss2",TRUE,-2162.37618449268,28.3703821521957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6795220375061,NA
"n500_d4",500,4,16,"gamlss.longitudinal",TRUE,-1592.2545356982,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000846981334461816,0.002,89.2369031906128,NA
"n500_d4",500,4,16,"gamlss2",TRUE,-2522.55276498078,24.4948660510478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83865404129028,NA
"n500_d4",500,4,17,"gamlss.longitudinal",TRUE,-1532.76629362624,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00106936608244723,0.002,86.3146150112152,NA
"n500_d4",500,4,17,"gamlss2",TRUE,-2321.56360377688,31.1996685396882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04227995872498,NA
"n500_d4",500,4,18,"gamlss.longitudinal",TRUE,-1512.56092268727,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00131110868801443,0.002,77.4994349479675,NA
"n500_d4",500,4,18,"gamlss2",TRUE,-2345.72281241259,25.4830060384358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00978708267212,NA
"n500_d4",500,4,19,"gamlss.longitudinal",TRUE,-1593.64747019235,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000716537057996902,0.002,97.6697030067444,NA
"n500_d4",500,4,19,"gamlss2",TRUE,-2358.7557536042,30.297874479517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21057987213135,NA
"n500_d4",500,4,20,"gamlss.longitudinal",TRUE,-1558.66364944651,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000789257974702195,0.002,94.3008131980896,NA
"n500_d4",500,4,20,"gamlss2",TRUE,-2296.67241979422,27.595458758282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7265248298645,NA
"n500_d4",500,4,21,"gamlss.longitudinal",TRUE,-1517.01429974615,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00075863876350013,0.002,95.243203163147,NA
"n500_d4",500,4,21,"gamlss2",TRUE,-2265.02497316614,27.7444897152501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1958110332489,NA
"n500_d4",500,4,22,"gamlss.longitudinal",TRUE,-1573.57156889445,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,10,0.00196807404472565,0.002,124.440429925919,NA
"n500_d4",500,4,22,"gamlss2",TRUE,-2394.77027923767,28.9932884159411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69004392623901,NA
"n500_d4",500,4,23,"gamlss.longitudinal",TRUE,-1566.45942858519,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00130519283675312,0.002,83.4902360439301,NA
"n500_d4",500,4,23,"gamlss2",TRUE,-2334.24898275738,31.4753939220946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48608803749084,NA
"n500_d4",500,4,24,"gamlss.longitudinal",TRUE,-1410.2349557002,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,9,0.00103123340682032,0.002,180.640557050705,NA
"n500_d4",500,4,24,"gamlss2",TRUE,-2243.70873206589,25.3916529019798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88030099868774,NA
"n500_d4",500,4,25,"gamlss.longitudinal",TRUE,-1559.37892978991,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000613625611322277,0.002,83.0144159793854,NA
"n500_d4",500,4,25,"gamlss2",TRUE,-2321.26597826729,29.8268404109154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63508081436157,NA
"n500_d4",500,4,26,"gamlss.longitudinal",TRUE,-1508.28497897333,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.000656107152053664,0.002,67.9361021518707,NA
"n500_d4",500,4,26,"gamlss2",TRUE,-2257.65440700881,28.7031865286873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31814384460449,NA
"n500_d4",500,4,27,"gamlss.longitudinal",TRUE,-1492.23632201822,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.00157116278251124,0.002,104.883306026459,NA
"n500_d4",500,4,27,"gamlss2",TRUE,-2238.91110856917,28.8670589121069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15959000587463,NA
"n500_d4",500,4,28,"gamlss.longitudinal",TRUE,-1508.10808666995,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000896207852747466,0.002,95.2178790569305,NA
"n500_d4",500,4,28,"gamlss2",TRUE,-2244.53077618119,31.9242521043193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15229487419128,NA
"n500_d4",500,4,29,"gamlss.longitudinal",TRUE,-1555.45135661821,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000592618168184345,0.002,79.8410029411316,NA
"n500_d4",500,4,29,"gamlss2",TRUE,-2323.1421783241,28.9362945669335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84848189353943,NA
"n500_d4",500,4,30,"gamlss.longitudinal",TRUE,-1551.79808370514,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00102093027498995,0.002,63.0336110591888,NA
"n500_d4",500,4,30,"gamlss2",TRUE,-2269.37989955867,31.095897109521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04916715621948,NA
"n500_d4",500,4,31,"gamlss.longitudinal",TRUE,-1587.23121216657,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.00174846163963593,0.002,90.291846036911,NA
"n500_d4",500,4,31,"gamlss2",TRUE,-2347.74228571548,28.3636644978425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36088490486145,NA
"n500_d4",500,4,32,"gamlss.longitudinal",TRUE,-1479.51544716594,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000641673315840308,0.002,113.361236095428,NA
"n500_d4",500,4,32,"gamlss2",TRUE,-2273.49730017545,32.7828945970614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3815279006958,NA
"n500_d4",500,4,33,"gamlss.longitudinal",TRUE,-1530.20279818956,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,9,0.00139052511372029,0.002,163.801056146622,NA
"n500_d4",500,4,33,"gamlss2",TRUE,-2253.31172546708,27.2354133572206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08853793144226,NA
"n500_d4",500,4,34,"gamlss.longitudinal",TRUE,-1538.71239718357,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,13,0.00144334477636221,0.002,131.251270055771,NA
"n500_d4",500,4,34,"gamlss2",TRUE,-2417.6823696822,30.4295221531642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71823406219482,NA
"n500_d4",500,4,35,"gamlss.longitudinal",TRUE,-1466.47144075429,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000647568886734007,0.002,97.939316034317,NA
"n500_d4",500,4,35,"gamlss2",TRUE,-2264.87075646422,31.5124651317735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7808198928833,NA
"n500_d4",500,4,36,"gamlss.longitudinal",TRUE,-1546.40157678368,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000414882469613076,0.002,105.800659179688,NA
"n500_d4",500,4,36,"gamlss2",TRUE,-2300.40252740623,31.9473921888721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41819596290588,NA
"n500_d4",500,4,37,"gamlss.longitudinal",TRUE,-1550.84085368568,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.0016375040006551,0.002,76.6895558834076,NA
"n500_d4",500,4,37,"gamlss2",TRUE,-2257.92239831793,30.2885783963058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00702404975891,NA
"n500_d4",500,4,38,"gamlss.longitudinal",TRUE,-1668.19770684262,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,6,0.00105659742962416,0.002,107.229275941849,NA
"n500_d4",500,4,38,"gamlss2",TRUE,-2380.09520495073,33.231586243926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75095701217651,NA
"n500_d4",500,4,39,"gamlss.longitudinal",TRUE,-1527.89138970599,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00070342603453355,0.002,69.0679230690002,NA
"n500_d4",500,4,39,"gamlss2",TRUE,-2353.78818489337,30.843362104442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4334728717804,NA
"n500_d4",500,4,40,"gamlss.longitudinal",TRUE,-1373.78624161408,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00177728242761077,0.002,82.9499709606171,NA
"n500_d4",500,4,40,"gamlss2",TRUE,-2135.43772862311,28.5341743625927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43479800224304,NA
"n500_d4",500,4,41,"gamlss.longitudinal",TRUE,-1573.09062425185,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00187653271063937,0.002,87.1040179729462,NA
"n500_d4",500,4,41,"gamlss2",TRUE,-2277.08502712885,32.6383799849553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40987992286682,NA
"n500_d4",500,4,42,"gamlss.longitudinal",TRUE,-1412.88902121275,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.00104551195022395,0.002,97.0741121768951,NA
