"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss.longitudinal","mu","t",0.194546978458411,0.0145604632512059,0.18,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","sigma","intercept",-1.29758467726021,0.0389231641056867,-1.21267355603985,TRUE,"n500_d4",500,4,2
"gamlss.longitudinal","sigma","x1",0.193560974376046,0.0261684609169636,0.18,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","sigma","x2",0.201345955502143,0.0494828151579591,0.12,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","sigma","t",0.22660161944096,0.0325453816307774,0.15,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","nu","intercept",-0.160487944917319,0.0929024117997745,0,TRUE,"n500_d4",500,4,2
"gamlss.longitudinal","nu","x1",0.0707010264486751,0.0502831340024198,0.1,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","nu","x2",0.041575861274299,0.0982899671419786,-0.08,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","nu","t",0.236075188208584,0.0892837904605268,0.12,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","tau","intercept",0.59468863859785,0.0932484410418824,0.5,TRUE,"n500_d4",500,4,2
"gamlss.longitudinal","tau","x1",-0.0562510326162554,0.0558994974305535,-0.08,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","tau","x2",0.0910172632679204,0.108702953346763,0.1,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","tau","t",0.119986845090518,0.117430257869826,0.11,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","theta","intercept",0.898479021884038,0.0632922618347912,1.03793159889431,TRUE,"n500_d4",500,4,2
"gamlss.longitudinal","theta","x1",0.257018607538457,0.036958731424587,0.25,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","theta","x2",-0.0145979267150105,0.0720388393282931,-0.1,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","theta","t",0.509909908042325,0.106479619542154,0.2,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","zeta","intercept",0.608659233890932,0.655256305746026,0.5,TRUE,"n500_d4",500,4,2
"gamlss.longitudinal","zeta","x1",-0.171238929841641,0.340068441523031,0.12,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","zeta","x2",-1.24686786140836,0.760773551599358,-0.1,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","zeta","t",2.20998006289644,1.35156809930079,0.1,FALSE,"n500_d4",500,4,2
"gamlss2","mu","intercept",0.778206292299662,0.0136373762830476,0.778570258248327,FALSE,"n500_d4",500,4,2
"gamlss2","mu","x1",0.116000684163858,0.00795449458857773,0.12,FALSE,"n500_d4",500,4,2
"gamlss2","mu","x2",-0.100285075830142,0.0152043122901415,-0.1,FALSE,"n500_d4",500,4,2
"gamlss2","mu","t",0.192644714416349,0.0197058414862811,0.18,FALSE,"n500_d4",500,4,2
"gamlss2","sigma","intercept",-1.31746391304959,0.0323410683320723,-1.21267355603985,FALSE,"n500_d4",500,4,2
"gamlss2","sigma","x1",0.198722500873388,0.017563461746603,0.18,FALSE,"n500_d4",500,4,2
"gamlss2","sigma","x2",0.219031338362347,0.0329957669224093,0.12,FALSE,"n500_d4",500,4,2
"gamlss2","sigma","t",0.239728580204702,0.0437297533313413,0.15,FALSE,"n500_d4",500,4,2
"gamlss2","nu","intercept",-0.179057879431765,0.115942203027239,0,FALSE,"n500_d4",500,4,2
"gamlss2","nu","x1",0.126939825203666,0.0572104388982913,0.1,FALSE,"n500_d4",500,4,2
"gamlss2","nu","x2",0.0143911266131293,0.109619208071289,-0.08,FALSE,"n500_d4",500,4,2
"gamlss2","nu","t",0.196226887010124,0.139297312284025,0.12,FALSE,"n500_d4",500,4,2
"gamlss2","tau","intercept",0.597811597005241,0.102495223069492,0.5,FALSE,"n500_d4",500,4,2
"gamlss2","tau","x1",-0.180105903340566,0.0645313368295798,-0.08,FALSE,"n500_d4",500,4,2
"gamlss2","tau","x2",0.135917491973598,0.109114679348455,0.1,FALSE,"n500_d4",500,4,2
"gamlss2","tau","t",0.0669917545346333,0.142640746553658,0.11,FALSE,"n500_d4",500,4,2
"gamlss2","theta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","theta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","theta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","theta","t",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","zeta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","zeta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","zeta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss2","zeta","t",NA,NA,NA,FALSE,"n500_d4",500,4,2
"gamlss.longitudinal","mu","intercept",0.791864592055594,0.0190104285843196,0.807748074214535,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","mu","x1",0.144809179337239,0.0117601920638563,0.12,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","mu","x2",-0.0713669823792749,0.0241929300069014,-0.1,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","mu","t",0.186166512890686,0.0141592999106022,0.18,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","sigma","intercept",-1.15515039941461,0.0403888028042976,-1.21545673206851,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","sigma","x1",0.14944399959502,0.0257107131130529,0.18,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","sigma","x2",0.0608634939334311,0.0507948769745206,0.12,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","sigma","t",0.153268644527416,0.0321233165924655,0.15,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","nu","intercept",-0.291128327943387,0.0890728042925962,0,TRUE,"n500_d4",500,4,3
"gamlss.longitudinal","nu","x1",0.185181087196869,0.0552604820777697,0.1,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","nu","x2",0.169789576763891,0.101200634908348,-0.08,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","nu","t",0.280130754453714,0.0888276168111838,0.12,FALSE,"n500_d4",500,4,3
