"generating_copula","tau_label","n_subject","rep","fit_id","margin_family","capability_registry_version","producer_sha256","package_source_sha256","configuration_sha256","stage","fitted_copula","correctly_specified","target_tau","n_time","seed","dataset_seed","attempted","success","converged","retained","stop_reason","failure_type","error","warnings","marginal_loglik","copula_loglik","joint_loglik","aic_joint","bic_joint","elapsed_sec","n_parameters","fitted_mu","fitted_sigma","mu_bias","sigma_bias","margin_param_rmse","mu_covered_95","sigma_covered_95","fitted_copula_tau","tau_abs_error","benchmark_mae","benchmark_rmse","benchmark_mean_bias","benchmark_mean_mae","benchmark_mean_rmse","benchmark_q90_mae","benchmark_neg_log_score","benchmark_upper_tail_error_90","benchmark_interval_coverage_95","benchmark_interval_width_95","benchmark_pit_ks_p_value","benchmark_pit_mean_abs_error","benchmark_tail_error_lower_05","benchmark_tail_error_upper_05","correct_joint_loglik","correct_copula_loglik","correct_tau_abs_error","correct_margin_param_rmse","correct_elapsed_sec","delta_joint_loglik_vs_correct","delta_copula_loglik_vs_correct","delta_tau_abs_error_vs_correct","delta_margin_rmse_vs_correct","delta_elapsed_sec_vs_correct"
"N","high",150,94,"gen-N__fit-C__tau-high__n-150__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.55,4,21902144,21902137,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-754.307850604239,160.165516617129,-594.14233398711,1194.28466797422,1207.47545693987,9.83,3,1.8944656258428,0.5197208735173,-0.105534374157201,0.0197208735172996,0.0759157986885382,TRUE,TRUE,0.446628358866891,0.103371641133109,0.747669833560368,0.929202503961931,-0.105534374157201,0.105534374157201,0.105534374157201,0.125865942083542,1.25717975100706,-0.0147098404090139,0.955,3.77357506346175,0.274282065453583,0.0165528159199033,0.0116666666666667,-0.0133333333333333,-569.740140859911,182.930212774524,0.0115005602069761,0.113847095537129,7.88,-24.402193127199,-22.764696157395,0.0918710809261329,-0.0379312968485908,1.95
"C","high",150,94,"gen-C__fit-N__tau-high__n-150__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",FALSE,0.55,4,21902237,21902244,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-807.512848829251,187.448010116907,-620.064838712344,1246.12967742469,1259.32046639034,12.06,3,2.02239933948513,0.499969614181392,0.022399339485133,-3.03858186080919e-05,0.0158387394174569,TRUE,TRUE,0.537163219213781,0.0128367807862186,0.790906300073045,1.00915959406736,0.022399339485133,0.022399339485133,0.022399339485133,0.0373282877359462,1.34585474804875,0.00469899246302263,0.951666666666667,3.8814695118483,0.957184954611039,0.00244111924562418,0.01,-0.00833333333333334,-579.550525692533,227.994763459877,0.0171817039733275,0.0261701452160523,13.31,-40.514313019811,-40.54675334297,-0.0043449231871089,-0.0103314057985954,-1.25
"C","high",150,94,"gen-C__fit-C__tau-high__n-150__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",TRUE,0.55,4,21902244,21902244,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-807.54528915241,227.994763459877,-579.550525692533,1165.10105138507,1178.29184035072,13.31,3,2.03686702712394,0.503251970525897,0.0368670271239386,0.00325197052589654,0.0261701452160523,TRUE,TRUE,0.532818296026673,0.0171817039733275,0.792815257888414,1.00922531608493,0.0368670271239386,0.0368670271239386,0.0368670271239386,0.0705192584299379,1.34590881525402,0.0088957913569826,0.953333333333333,3.9338752815509,0.996207220725101,0.000838117557974749,0.01,-0.01,-579.550525692533,227.994763459877,0.0171817039733275,0.0261701452160523,13.31,0,0,0,0,0
"N","moderate",500,94,"gen-N__fit-N__tau-moderate__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",TRUE,0.25,4,21905636,21905636,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2653.70367327193,118.463263515706,-2535.24040975623,5076.48081951245,5093.28352689108,9.52,3,1.99963227850465,0.499309832398236,-0.000367721495353024,-0.000690167601764102,0.000552969446113199,TRUE,TRUE,0.25110911393314,0.00110911393314023,0.766494147257137,0.985058839167353,-0.000367721495353024,0.000367721495353024,0.000367721495353024,0.00247810427101758,1.32685183663597,-0.000309244381591967,0.95,3.83290984108223,0.263569741657871,0.00067294615461988,0.00199999999999999,0.000999999999999994,-2535.24040975623,118.463263515706,0.00110911393314023,0.000552969446113199,9.52,0,0,0,0,0
"N","moderate",500,94,"gen-N__fit-C__tau-moderate__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.25,4,21905643,21905636,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2653.94549084704,94.2673148139613,-2559.67817603308,5125.35635206616,5142.15905944479,10.47,3,2.01017387563159,0.50150361070414,0.0101738756315868,0.00150361070413962,0.00727215891316322,TRUE,TRUE,0.185996096520092,0.0640039034799076,0.76778321611776,0.98516364391643,0.0101738756315868,0.0101738756315868,0.0101738756315868,0.0210740615214857,1.32697274542352,0.00263524409259974,0.9505,3.86937208522711,0.429111063801181,0.00180331874383155,0.00199999999999999,-0.004,-2535.24040975623,118.463263515706,0.00110911393314023,0.000552969446113199,9.52,-24.4377662768502,-24.1959487017447,0.0628947895467674,0.00671918946705002,0.950000000000001
"C","moderate",500,94,"gen-C__fit-N__tau-moderate__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",FALSE,0.25,4,21905736,21905743,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2715.39216987838,171.655484042548,-2543.73668583583,5093.47337167167,5110.2760790503,12.53,3,2.01615906198372,0.514821938438939,0.0161590619837191,0.0148219384389392,0.0155049208846962,TRUE,TRUE,0.30090587565771,0.0509058756577104,0.798300508335514,1.01523098872338,0.0161590619837191,0.0161590619837191,0.0161590619837191,0.067312053324756,1.35769608493919,0.00831459332595186,0.955,3.97970416763411,0.75136646544151,0.000208912063551336,-0.002,0.000999999999999994,-2493.25739620589,222.220333865939,0.0254032226324749,0.0114955222138222,14.86,-50.47928962994,-50.564849823391,0.0255026530252355,0.004009398670874,-2.33
"C","moderate",500,94,"gen-C__fit-C__tau-moderate__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",TRUE,0.25,4,21905743,21905743,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,"Analytical Hessian vcov failed; falling back to numerical Hessian. Reason: Hessian-based inference is unavailable (information_not_positive_definite). The fitted model is unchanged.",-2715.47773007182,222.220333865939,-2493.25739620589,4992.51479241177,5009.3174997904,14.86,3,2.01215467026043,0.510796205481428,0.0121546702604283,0.0107962054814282,0.0114955222138222,TRUE,TRUE,0.275403222632475,0.0254032226324749,0.79785759934764,1.01520627355675,0.0121546702604283,0.0121546702604283,0.0121546702604283,0.0496207661051389,1.35773886503591,0.00614723509086967,0.9505,3.94202274048638,0.757137970666511,0.000514204789412109,-5e-04,0.00149999999999999,-2493.25739620589,222.220333865939,0.0254032226324749,0.0114955222138222,14.86,0,0,0,0,0
"N","high",500,94,"gen-N__fit-N__tau-high__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",TRUE,0.55,4,21905637,21905637,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2694.78567357973,649.320006996606,-2045.46566658313,4096.93133316626,4113.73404054488,10.97,3,2.03414555523094,0.498372436216737,0.0341455552309435,-0.00162756378326284,0.0241719662615395,TRUE,TRUE,0.549312577597075,0.000687422402925186,0.786900319415453,0.996286352344696,0.0341455552309435,0.0341455552309435,0.0341455552309435,0.0525580902491951,1.34739283678987,0.00665942817414389,0.9485,3.89203368738165,0.619121619758149,0.00448215386464623,0.004,-0.0085,-2045.46566658313,649.320006996606,0.000687422402925186,0.0241719662615395,10.97,0,0,0,0,0
"N","high",500,94,"gen-N__fit-C__tau-high__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.55,4,21905644,21905637,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2700.50230347426,510.372768027041,-2190.12953544722,4386.25907089445,4403.06177827307,16.45,3,2.11044150297648,0.510461179142056,0.11044150297648,0.0104611791420561,0.0784434887315257,FALSE,TRUE,0.437592033457329,0.112407966542671,0.798306949236283,0.998906296030304,0.11044150297648,0.11044150297648,0.11044150297648,0.214257507583457,1.35025115173713,0.027516422355123,0.957,4.13197657103377,0.0587664797961095,0.0133521218483737,0.004,-0.0165,-2045.46566658313,649.320006996606,0.000687422402925186,0.0241719662615395,10.97,-144.66386886409,-138.947238969565,0.111720544139746,0.0542715224699862,5.48
"C","high",500,94,"gen-C__fit-N__tau-high__n-500__rep-094","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",FALSE,0.55,4,21905737,21905744,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-2697.9767772422,540.632061784606,-2157.34471545759,4320.68943091519,4337.49213829381,13.78,3,2.07408309994216,0.495053670008479,0.0740830999421598,-0.00494632999152145,0.0525012946384423,FALSE,TRUE,0.510789255341898,0.0392107446581021,0.784483824905889,1.01466948454308,0.0740830999421598,0.0740830999421598,0.0740830999421598,0.109874005826727,1.3489883886211,0.014196181141826,0.947,3.94305317934691,0.472038446155622,0.00377593044123981,0.000999999999999994,-0.004,-1923.9011102476,773.729667690737,0.00626418441182186,0.0361837433816732,14.25,-233.44360520999,-233.097605906131,0.0329465602462802,0.0163175512567691,-0.470000000000001
