"generating_copula","fitted_copula","tau_label","target_tau","n_subject","metric","lhs_method","rhs_method","contrast","n_attempted","n_retained","estimate","mcse","ci_lower","ci_upper","confidence_level","ci_method","seed_pairing"
"N","C","high",0.55,150,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0268726525828575,0.00385495162221805,0.0192235922265069,0.0345217129392081,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","high",0.55,150,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0889785995388152,0.00297937687365455,0.0830668694409453,0.0948903296366852,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","high",0.55,500,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-151.898707415008,1.71351519265764,-155.298693307081,-148.498721522936,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","high",0.55,500,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0380167106619643,0.0028977464711324,0.0322669529925437,0.0437664683313849,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","high",0.55,500,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0946447630678077,0.0017671001032833,0.0911384530877229,0.0981510730478926,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,50,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-2.83168339255047,0.274046237038631,-3.37545058160099,-2.28791620349994,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,50,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00105698089847369,0.000937410443458752,-0.000803044794031305,0.00291700659097869,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,50,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0244071808377181,0.00404860852940044,0.0163738631633443,0.0324404985120918,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,150,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-9.58394008956379,0.38858295712375,-10.3549729801863,-8.81290719894127,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,150,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00223646582041664,0.000926851731064162,0.000397390904031915,0.00407554073680137,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,150,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0433059292238743,0.0032946062836914,0.0367687155869707,0.0498431428607779,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,500,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-33.141559072243,0.763216858817078,-34.6559469012444,-31.6271712432416,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,500,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00249186168574165,0.00078158608854255,0.000941025319731397,0.0040426980517519,0.95,"paired_t","registered_dataset_seed_exact"
"N","C","moderate",0.25,500,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0486859171388219,0.00170934901112437,0.0452941978547715,0.0520776364228724,0.95,"paired_t","registered_dataset_seed_exact"
