"generating_copula","tau_label","target_tau","n_subject","rep","n_candidates_expected","n_candidate_rows","n_candidates_attempted","n_candidates_usable","n_candidates_failed","all_candidates_present_once","selection_eligible","missing_candidates","duplicate_candidates","failed_candidates","failure_reasons","best_aic_copula","best_bic_copula","best_loglik_copula","aic_gap_to_runner_up","close_aic"
"C","high",0.55,50,48,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",49.405597480195,FALSE
"C","high",0.55,50,49,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",39.18656764146,FALSE
"C","high",0.55,50,50,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",36.087928820491,FALSE
"C","high",0.55,50,51,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",52.677289228111,FALSE
"C","high",0.55,50,52,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",16.849662820007,FALSE
"C","high",0.55,50,53,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",58.978542406913,FALSE
"C","high",0.55,50,54,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",52.917238244697,FALSE
"C","high",0.55,50,55,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",8.84236692980602,FALSE
"C","high",0.55,50,56,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",40.179847413009,FALSE
"C","high",0.55,50,57,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",39.446118695598,FALSE
"C","high",0.55,50,58,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",21.471194817377,FALSE
"C","high",0.55,50,59,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",27.29443666809,FALSE
"C","high",0.55,50,60,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",34.474288181626,FALSE
"C","high",0.55,50,61,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",45.056620918675,FALSE
"C","high",0.55,50,62,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",56.155837738938,FALSE
"C","high",0.55,50,63,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",24.3869130895829,FALSE
"C","high",0.55,50,64,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",72.519357415717,FALSE
"C","high",0.55,50,65,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",43.180702414574,FALSE
"C","high",0.55,50,66,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",34.860874657235,FALSE
"C","high",0.55,50,67,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",16.1733659168819,FALSE
"C","high",0.55,50,68,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",26.066076250941,FALSE
"C","high",0.55,50,69,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",37.26955855279,FALSE
"C","high",0.55,50,70,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",29.8307469294029,FALSE
"C","high",0.55,50,71,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",31.620132893985,FALSE
"C","high",0.55,50,72,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",40.834333916998,FALSE
"C","high",0.55,50,73,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",24.34232338184,FALSE
"C","high",0.55,50,74,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",28.159547265054,FALSE
"C","high",0.55,50,75,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",39.660463606321,FALSE
"C","high",0.55,50,76,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.963384941795,FALSE
"C","high",0.55,50,77,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",65.207314738353,FALSE
"C","high",0.55,50,78,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.750179598532,FALSE
"C","high",0.55,50,79,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",29.359452764139,FALSE
"C","high",0.55,50,80,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",59.619852374585,FALSE
"C","high",0.55,50,81,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",32.319207568735,FALSE
"C","high",0.55,50,82,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",37.186819883911,FALSE
"C","high",0.55,50,83,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",23.183369323554,FALSE
"C","high",0.55,50,84,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.292251845013,FALSE
"C","high",0.55,50,85,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.541205340587,FALSE
"C","high",0.55,50,86,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.307186922552,FALSE
"C","high",0.55,50,87,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",41.613012954967,FALSE
"C","high",0.55,50,88,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.480922895893,FALSE
"C","high",0.55,50,89,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",42.025045405567,FALSE
"C","high",0.55,50,90,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.297506090178,FALSE
"C","high",0.55,50,91,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",15.580003709742,FALSE
"C","high",0.55,50,92,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",22.320485916493,FALSE
"C","high",0.55,50,93,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",47.726807738137,FALSE
"C","high",0.55,50,94,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",51.836377889257,FALSE
"C","high",0.55,50,95,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",30.208399217731,FALSE
"C","high",0.55,50,96,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",23.7062813655,FALSE
"C","high",0.55,50,97,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",68.024517084722,FALSE
"C","high",0.55,50,98,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",40.763020065925,FALSE
"C","high",0.55,50,99,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",23.124948639417,FALSE
"C","high",0.55,50,100,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",27.958692228116,FALSE
"C","high",0.55,150,1,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",108.79720756619,FALSE
"C","high",0.55,150,2,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",112.36122590578,FALSE
"C","high",0.55,150,3,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",109.26179467151,FALSE
"C","high",0.55,150,4,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",130.35603437367,FALSE
"C","high",0.55,150,5,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",115.30454063663,FALSE
"C","high",0.55,150,6,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",134.50018163443,FALSE
"C","high",0.55,150,7,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",124.82177566433,FALSE
"C","high",0.55,150,8,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",113.96631220668,FALSE
"C","high",0.55,150,9,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",98.57124440904,FALSE
"C","high",0.55,150,10,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",100.78295489154,FALSE
"C","high",0.55,150,11,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",134.59157828654,FALSE
"C","high",0.55,150,12,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",130.9562880067,FALSE
"C","high",0.55,150,13,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",110.81001965794,FALSE
"C","high",0.55,150,14,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",100.80794643145,FALSE
"C","high",0.55,150,15,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",83.8631189079601,FALSE
"C","high",0.55,150,16,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",91.6261896512101,FALSE
"C","high",0.55,150,17,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",112.29375582916,FALSE
"C","high",0.55,150,18,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",158.5567624905,FALSE
"C","high",0.55,150,19,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",140.97723908099,FALSE
"C","high",0.55,150,20,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",126.31440309617,FALSE
"C","high",0.55,150,21,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",95.6037299331099,FALSE
"C","high",0.55,150,22,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.35278319747,FALSE
"C","high",0.55,150,23,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",133.89903402494,FALSE
"C","high",0.55,150,24,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",126.67781726301,FALSE
"C","high",0.55,150,25,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",131.66854282346,FALSE
"C","high",0.55,150,26,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",140.17440857623,FALSE
"C","high",0.55,150,27,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",92.9860219299899,FALSE
"C","high",0.55,150,28,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",139.28529398925,FALSE
"C","high",0.55,150,29,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",130.93133861177,FALSE
"C","high",0.55,150,30,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",103.6560284665,FALSE
"C","high",0.55,150,31,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",108.13658215053,FALSE
"C","high",0.55,150,32,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",146.30881755797,FALSE
"C","high",0.55,150,33,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",133.64910043467,FALSE
"C","high",0.55,150,34,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",96.8462262151302,FALSE
"C","high",0.55,150,35,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.1621141133,FALSE
"C","high",0.55,150,36,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",124.46006182386,FALSE
"C","high",0.55,150,37,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",97.19673534965,FALSE
"C","high",0.55,150,38,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",123.82732717384,FALSE
"C","high",0.55,150,39,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",121.06339800372,FALSE
"C","high",0.55,150,40,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",146.217265200909,FALSE
"C","high",0.55,150,41,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",107.02637011656,FALSE
"C","high",0.55,150,42,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.58022876048,FALSE
"C","high",0.55,150,43,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",144.12926954166,FALSE
"C","high",0.55,150,44,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",162.89641772004,FALSE
"C","high",0.55,150,45,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",70.60790427609,FALSE
"C","high",0.55,150,46,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",118.05997476652,FALSE
"C","high",0.55,150,47,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",132.31490821117,FALSE
"C","high",0.55,150,48,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",185.28953912287,FALSE
"C","high",0.55,150,49,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",148.529617826014,FALSE
"C","high",0.55,150,50,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",115.57441221578,FALSE
"C","high",0.55,150,51,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",142.70554844385,FALSE
"C","high",0.55,150,52,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",119.96105336873,FALSE
"C","high",0.55,150,53,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",137.91973184896,FALSE
"C","high",0.55,150,54,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",136.68333911562,FALSE
"C","high",0.55,150,55,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",142.16985108662,FALSE
"C","high",0.55,150,56,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",140.28729472246,FALSE
"C","high",0.55,150,57,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",89.79043251332,FALSE
"C","high",0.55,150,58,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",99.5404969327501,FALSE
"C","high",0.55,150,59,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",137.9060854818,FALSE
"C","high",0.55,150,60,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",124.30031258359,FALSE
"C","high",0.55,150,61,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",149.8214991221,FALSE
