"profile","case_id","hypothesis_role","method","family","copula","design","n_subject","n_time","total_observations","mu_strength","sigma_strength","theta_strength","time_shape","n","success_rate","convergence_rate","median_elapsed_sec","mean_train_joint_loglik","mean_test_log_score_per_obs","mean_heldout_variogram_score_p05","mean_heldout_variogram_score_p2","mean_train_rmse_theta","mean_train_rmse_tau","mean_benchmark_neg_log_score","mean_benchmark_variogram_score_p05","mean_benchmark_variogram_score_p2","mean_benchmark_mean_rmse","selected_review_cases"
"ga_final_jvs01to06_100rep_vs100","JVS01","theta_off_control_ga","rs_joint","GA","N","seven_case",40,75,3000,0,0.375,0,"sigmoid",100,1,1,1.22999999998137,-2153.92841798513,-0.73837787760981,496.89287203781,3370.76921851857,0.031933115226202,0.0207017794202012,0.73837787760981,496.89287203781,3370.76921851857,0.0207388439525915,1
"ga_final_jvs01to06_100rep_vs100","JVS01","theta_off_control_ga","rs_joint_minus_rs_separate","GA","N","seven_case",40,75,3000,0,0.375,0,"sigmoid",100,1,NA,0.130000000033762,0.00832195581775068,-2.16691617328568e-05,0.0859237390583547,0.946446176360596,0.000141264984610888,9.16373930573637e-05,2.16691617328568e-05,0.0859237390583547,0.946446176360596,9.81554425367156e-07,1
"ga_final_jvs01to06_100rep_vs100","JVS01","theta_off_control_ga","rs_separate","GA","N","seven_case",40,75,3000,0,0.375,0,"sigmoid",100,1,1,1.14999999999418,-2153.93673994094,-0.738356208448077,496.806948298751,3369.82277234221,0.0317918502415911,0.0206101420271438,0.738356208448077,496.806948298751,3369.82277234221,0.0207378623981662,1
"ga_final_jvs01to06_100rep_vs100","JVS02","weak_dependence_ga","rs_joint","GA","N","seven_case",40,75,3000,0,0.375,1.5,"sigmoid",100,1,1,6.38499999999476,-1616.94771152417,-0.688291754546753,487.728533941815,3153.06240987099,0.366383419857265,0.26726961416072,0.688291754546753,487.728533941815,3153.06240987099,0.0273099113740544,1
"ga_final_jvs01to06_100rep_vs100","JVS02","weak_dependence_ga","rs_joint_minus_rs_separate","GA","N","seven_case",40,75,3000,0,0.375,1.5,"sigmoid",100,1,NA,2.1499999999869,1.69971766452198,-0.00156813500801607,-0.300386547095877,-2.5291810987681,0.00226959337527109,0.00175437231194515,0.00156813500801607,-0.300386547095877,-2.5291810987681,-0.00478529086275063,1
"ga_final_jvs01to06_100rep_vs100","JVS02","weak_dependence_ga","rs_separate","GA","N","seven_case",40,75,3000,0,0.375,1.5,"sigmoid",100,1,1,3.92500000000291,-1618.6474291887,-0.686723619538737,488.02892048891,3155.59159096976,0.364113826481994,0.265515241848774,0.686723619538737,488.02892048891,3155.59159096976,0.0320952022368051,1
"ga_final_jvs01to06_100rep_vs100","JVS03","central_joint_win_ga","rs_joint","GA","N","seven_case",40,75,3000,0,0.375,3.5,"sigmoid",100,1,1,20.125,-322.143623284283,-1.89138615045315,435.86241351876,2341.319296785,0.593083882210139,0.472236902513253,1.89138615045315,435.86241351876,2341.319296785,0.037721863693613,1
"ga_final_jvs01to06_100rep_vs100","JVS03","central_joint_win_ga","rs_joint_minus_rs_separate","GA","N","seven_case",40,75,3000,0,0.375,3.5,"sigmoid",100,1,NA,16.5550000000003,15.2190212273402,-0.0374496099347142,-1.33699332389166,-10.4835163284166,0.00500854186865907,0.00417614301007622,0.0374496099347142,-1.33699332389166,-10.4835163284166,-0.0169743270671865,1
"ga_final_jvs01to06_100rep_vs100","JVS03","central_joint_win_ga","rs_separate","GA","N","seven_case",40,75,3000,0,0.375,3.5,"sigmoid",100,1,1,4.625,-337.362644511623,-1.85393654051844,437.199406842652,2351.80281311342,0.58807534034148,0.468060759503176,1.85393654051844,437.199406842652,2351.80281311342,0.0546961907607994,1
"ga_final_jvs01to06_100rep_vs100","JVS04","fewer_time_points_same_rows_ga","rs_joint","GA","N","seven_case",150,20,3000,0,0.375,3.5,"sigmoid",100,1,1,10.3349999999919,-363.620685859355,-2.06520623064006,25.9339822168882,114.948864052718,0.60240322174756,0.483517080633451,2.06520623064006,25.9339822168882,114.948864052718,0.0287695435983671,1
"ga_final_jvs01to06_100rep_vs100","JVS04","fewer_time_points_same_rows_ga","rs_joint_minus_rs_separate","GA","N","seven_case",150,20,3000,0,0.375,3.5,"sigmoid",100,1,NA,6.67999999999302,8.85761582394481,-0.0311870176279359,-0.0112630260909723,-0.100850451748561,0.00346065536701301,0.00275384067984424,0.0311870176279359,-0.0112630260909723,-0.100850451748561,-0.00995654873143153,1
"ga_final_jvs01to06_100rep_vs100","JVS04","fewer_time_points_same_rows_ga","rs_separate","GA","N","seven_case",150,20,3000,0,0.375,3.5,"sigmoid",100,1,1,3.40499999999883,-372.4783016833,-2.03401921301213,25.9452452429792,115.049714504467,0.598942566380547,0.480763239953607,2.03401921301213,25.9452452429792,115.049714504467,0.0387260923297986,1
"ga_final_jvs01to06_100rep_vs100","JVS05","weaker_shared_shape_ga","rs_joint","GA","N","seven_case",40,75,3000,0,0.125,3.5,"sigmoid",100,1,1,17.4849999999861,-232.888879695183,-2.33822548045515,429.525782530658,2215.32295675824,0.598001967121996,0.481702308204926,2.33822548045515,429.525782530658,2215.32295675824,0.0399397506688777,1
"ga_final_jvs01to06_100rep_vs100","JVS05","weaker_shared_shape_ga","rs_joint_minus_rs_separate","GA","N","seven_case",40,75,3000,0,0.125,3.5,"sigmoid",100,1,NA,14.1999999999534,14.2663907277062,-0.0218545681925642,-1.67520281062628,-14.222549611448,0.00587226053136202,0.00507715613253325,0.0218545681925642,-1.67520281062628,-14.222549611448,-0.0152882063910126,1
