"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","metric","n_metric","mean","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mcse","ci_low","ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"rosenblatt_ks",100,0.0151608200658541,0.00385898564402441,0.000274246167904007,0.0033882158117687,0.00448288813320034,0.000385898564402441,0.0143951135927739,0.0159265265389343
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"rosenblatt_cvm",100,0.0718787930793718,0.0412243511820789,0.0029296870677715,0.0361952625351985,0.0478893086837967,0.00412243511820789,0.0636989874360086,0.0800585987227351
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"abs_rosenblatt_lag1_cor",100,0.0137989049582662,0.00971462658618154,0.000690388449100387,0.00852950864320983,0.0112852413195944,0.000971462658618154,0.0118713122832028,0.0157264976333295
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"abs_rosenblatt_normal_lag1_cor",100,0.0138770392814161,0.00972440621754974,0.000691083457238185,0.00853809522649663,0.0112966020753607,0.000972440621754974,0.0119475061153187,0.0158065724475136
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"rosenblatt_mean_abs_time_mean",100,0.00790514301588006,0.00377338431213553,0.000268162746144106,0.00331305725639457,0.00438344718412476,0.000377338431213553,0.0071564217041811,0.00865386432757901
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"rosenblatt_normal_mean_abs_time_mean",100,0.0263960792033037,0.0130548877851563,0.000927770475912474,0.0114622808413466,0.015165540100664,0.00130548877851563,0.0238057062388671,0.0289864521677402
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"rosenblatt_ks",100,0.013551174624748,0.00309076568664748,0.000219651152826861,0.00271371343041589,0.00359046601809207,0.000309076568664748,0.0129378996578652,0.0141644495916307
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"rosenblatt_cvm",100,0.0524483440799137,0.0273858780085422,0.00194622960314952,0.0240449883588954,0.0318134968270406,0.00273858780085422,0.047014391742051,0.0578822964177764
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"abs_rosenblatt_lag1_cor",100,0.722928379168732,0.0169544528579597,0.00120490049824481,0.0148861256693658,0.019695568352151,0.00169544528579597,0.719564247892168,0.726292510445296
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"abs_rosenblatt_normal_lag1_cor",100,0.736832354260135,0.0168317189148597,0.00119617817671479,0.0147783644271606,0.0195529913674669,0.00168317189148597,0.733492576060615,0.740172132459655
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"rosenblatt_mean_abs_time_mean",100,0.00412790818913012,0.00179263457922594,0.000127396992151603,0.00157394543186806,0.00208245923247226,0.000179263457922594,0.00377221059712011,0.00448360578114013
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"rosenblatt_normal_mean_abs_time_mean",100,0.0139115810973518,0.00588115909533379,0.000417955777375492,0.0051636979446123,0.00683199699350016,0.000588115909533379,0.012744631540158,0.0150785306545455
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"rosenblatt_ks",100,0.137231815989539,0.0115216296772916,0.000818806566927544,0.0101160697268704,0.0133843920967778,0.00115216296772916,0.134945674697981,0.139517957281098
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"rosenblatt_cvm",100,13.3452801379296,1.24278184930547,0.088320660181892,1.09117097103388,1.44370892206745,0.124278184930547,13.098685256678,13.5918750191812
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"abs_rosenblatt_lag1_cor",100,0.637665711498638,0.018520407589068,0.0013161880550624,0.0162610446428715,0.0215146992141911,0.0018520407589068,0.633990860829786,0.64134056216749
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"abs_rosenblatt_normal_lag1_cor",100,0.649489114046386,0.0177763421845558,0.00126330962930992,0.0156077501242816,0.0206503368454484,0.00177763421845558,0.645961902096406,0.653016325996365
