"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","metric","n_metric","mean","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mcse","ci_low","ci_high","variogram_p"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"test_log_score_joint",100,-1552.27871688317,62.7788779554786,4.46150058403649,55.1202845916844,72.9286690760405,6.27788779554786,-1564.73540826725,-1539.82202549908,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"test_log_score_marginal",100,-2358.31016966113,80.5241953459463,5.72260537723829,70.7007947343793,93.5429651858961,8.05241953459463,-2374.28791700296,-2342.33242231931,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"test_log_score_copula",100,806.031452777968,51.866208443794,3.68597093162209,45.5388860587951,60.2516909351084,5.1866208443794,795.740071777099,816.322833778837,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"test_log_score_per_obs",100,-0.776139358441584,0.0313894389777393,0.00223075029201825,0.0275601422958422,0.0364643345380203,0.00313894389777393,-0.782367704133625,-0.769911012749542,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"test_log_score_joint",100,-2384.71555214379,87.6886515910641,6.23176111182413,76.9912363611893,101.86573672349,8.76886515910641,-2402.11488303866,-2367.31622124892,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"test_log_score_marginal",100,-2384.71555214379,87.6886515910641,6.23176111182413,76.9912363611893,101.86573672349,8.76886515910641,-2402.11488303866,-2367.31622124892,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"test_log_score_copula",100,0,0,0,0,0,0,0,0,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"test_log_score_per_obs",100,-1.19235777607189,0.043844325795532,0.00311588055591206,0.0384956181805946,0.0509328683617452,0.0043844325795532,-1.20105744151933,-1.18365811062446,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"test_log_score_joint",100,-4490.30842688043,74.596193350967,5.30132061994259,65.4959684032197,86.6565519549915,7.4596193350967,-4505.10993001751,-4475.50692374335,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"test_log_score_marginal",100,-4490.30842688043,74.596193350967,5.30132061994259,65.4959684032197,86.6565519549915,7.4596193350967,-4505.10993001751,-4475.50692374335,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"test_log_score_copula",100,0,0,0,0,0,0,0,0,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"test_log_score_per_obs",100,-2.24515421344021,0.0372980966754834,0.00265066030997129,0.0327479842016098,0.0433282759774956,0.00372980966754834,-2.25255496500875,-2.23775346187167,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"test_log_score_joint",100,-4316.96755437687,195.895154070105,13.9216623927797,171.997286254998,227.566553115368,19.5895154070105,-4355.83740292083,-4278.09770583292,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"test_log_score_marginal",100,-4897.8830956962,116.600441513233,8.28643255266723,102.375985825732,135.45184766235,11.6600441513233,-4921.0191529575,-4874.74703843489,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"test_log_score_copula",100,580.915541319323,161.901853327576,11.5058637029134,142.150935505185,188.077376796984,16.1901853327576,548.790701132739,613.040381505906,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"test_log_score_per_obs",100,-2.15848377718844,0.0979475770350515,0.00696083119638977,0.0859986431274982,0.113783276557683,0.00979475770350515,-2.17791870146041,-2.13904885291646,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"variogram_score",100,0.715392502543826,0.0405363917947317,0.00288079592303616,0.0355912294837477,0.0470901232868677,0.00405363917947317,0.7073492029683,0.723435802119351,0.5
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"variogram_score",100,57.2961918540839,40.5589740956262,2.88240077727872,35.6110568985181,47.1163565870245,4.05589740956262,49.2484114601343,65.3439722480335,2
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"variogram_score",100,1.18511913591085,0.0963408763022303,0.00684664794732092,0.0845879488855657,0.111916812073701,0.00963408763022303,1.16600301592189,1.20423525589981,0.5
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"variogram_score",100,40881.9294839224,406399.424767222,28881.5494956266,356821.476913817,472104.15551805,40639.9424767222,-39756.5332898868,121520.392257732,2
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"variogram_score",100,4.90185415121864,0.211825642209706,0.0150537928871988,0.185984363892193,0.246072606991907,0.0211825642209706,4.85982334821332,4.94388495422396,0.5
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"variogram_score",100,9335.124766934,3541.06878049451,251.652800221972,3109.08262932011,4113.57197959677,354.106878049451,8632.49989683494,10037.7496370331,2
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"variogram_score",100,4.09578102026679,0.169993246618764,0.0120808939849122,0.149255234203704,0.197476948164215,0.0169993246618764,4.06205067210717,4.1295113684264,0.5
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"variogram_score",100,7378.804568648,3606.01614370238,256.268408342415,3166.10685880756,4189.01972433199,360.601614370238,6663.29273264514,8094.31640465086,2
