"study_id","scenario_id","method","metric","orientation","attempted_replicates","observed_replicates","failed_or_missing_replicates","conditional_mean","conditional_mcse","conditional_ci_low","conditional_ci_high","optimistic_failure_inclusive_mean","failure_penalty","failure_penalty_source","failure_penalized_mean","failure_rate","failure_rate_mcse","failure_rate_ci_low","failure_rate_ci_high","penalty_rule"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss","negative_test_log_score_per_obs","lower_is_better",100,100,0,2.24515421344021,0.00372980966754834,2.23775346187167,2.25255496500875,2.24515421344021,2.36615559554292,"same_method_maximum_observed",2.24515421344021,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss","runtime_sec","lower_is_better",100,100,0,1.36138480424881,0.111325082362957,1.14049168868748,1.58227791981014,1.36138480424881,5.61811685562134,"same_method_maximum_observed",1.36138480424881,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss","variogram_score_p0.5","lower_is_better",100,100,0,4.90185415121864,0.0211825642209706,4.85982334821332,4.94388495422396,4.90185415121864,5.82661970979481,"same_method_maximum_observed",4.90185415121864,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss","variogram_score_p2.0","lower_is_better",100,100,0,9335.124766934,354.106878049451,8632.49989683494,10037.7496370331,9335.124766934,27979.5116052,"same_method_maximum_observed",9335.124766934,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","fixed_effect_mse","lower_is_better",100,100,0,0.00827589172324785,0.000542281297046755,0.00719988798111941,0.00935189546537629,0.00827589172324785,0.0367292664929722,"same_method_maximum_observed",0.00827589172324785,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","mean_smooth_irmse","lower_is_better",100,100,0,0.0851667175478809,0.00207139941246155,0.0810566117201685,0.0892768233755932,0.0851667175478809,0.149837374706902,"same_method_maximum_observed",0.0851667175478809,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","negative_test_log_score_per_obs","lower_is_better",100,100,0,2.15848377718844,0.00979475770350515,2.13904885291646,2.17791870146041,2.15848377718844,2.85995431899531,"same_method_maximum_observed",2.15848377718844,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","runtime_sec","lower_is_better",100,100,0,414.92710930109,7.37900152208595,400.285569395185,429.568649206995,414.92710930109,618.928359031677,"same_method_maximum_observed",414.92710930109,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","variogram_score_p0.5","lower_is_better",100,100,0,4.09578102026679,0.0169993246618764,4.06205067210717,4.1295113684264,4.09578102026679,4.68655649609687,"same_method_maximum_observed",4.09578102026679,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint","variogram_score_p2.0","lower_is_better",100,100,0,7378.804568648,360.601614370238,6663.29273264514,8094.31640465086,7378.804568648,25292.8682638,"same_method_maximum_observed",7378.804568648,0,0,0,0.0369934982069857,"missing loss uses the same method/metric maximum; an all-failed method uses the same scenario/metric maximum"
