"schema_version","evidence_status","study_id","scenario_id","margin_family","copula_family","copula_code","runner_contract_version","phase1_contract_version","runner_settings_signature","n_subjects","n_time","target_replicates","replicate","data_seed","training_covariate_seed","training_response_seed","test_response_seed","diagnostic_seed","predictive_seed","seed_source","method","attempted","success","converged","elapsed_sec","stop_reason","error","retry_index","convergence_status","failure_reason","retained","retention_reason","attempt_id","has_fixed_output","has_smooth_output","has_predictive_output","has_diagnostic_output"
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,56,110056,,110056,610056,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,95.8325660228729,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep056::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,57,110057,,110057,610057,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,93.2809228897095,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep057::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,58,110058,,110058,610058,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,93.4212160110474,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep058::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,59,110059,,110059,610059,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,90.7655889987946,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep059::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,60,110060,,110060,610060,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,121.248601913452,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep060::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,61,110061,,110061,610061,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,83.3758141994476,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep061::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,62,110062,,110062,610062,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,101.653337955475,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep062::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,63,110063,,110063,610063,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,91.2899038791656,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep063::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,64,110064,,110064,610064,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,96.8147871494293,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep064::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,65,110065,,110065,610065,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,85.1783628463745,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep065::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,66,110066,,110066,610066,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,83.4307651519775,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep066::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,67,110067,,110067,610067,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,79.3959848880768,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep067::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,68,110068,,110068,610068,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,193.132941007614,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep068::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,69,110069,,110069,610069,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,108.509853839874,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep069::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,70,110070,,110070,610070,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,90.9498779773712,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep070::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,71,110071,,110071,610071,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,83.7717139720917,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep071::try01",TRUE,TRUE,TRUE,TRUE
