"scenario","n","d","rep","model","logLik","df","rosenblatt_ks","rosenblatt_cvm","rosenblatt_lag1_cor","abs_rosenblatt_lag1_cor","rosenblatt_normal_lag1_cor","abs_rosenblatt_normal_lag1_cor","rosenblatt_mean_abs_time_mean","rosenblatt_normal_mean_abs_time_mean"
"n500_d4_nbi_signal2",500,4,1,"gamlss",-4530.40615691236,21.0000008073367,0.122057131654617,11.7126606729679,0.633931980500607,0.633931980500607,0.646667450361018,0.646667450361018,0.0690941220324426,0.252453418037328
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint",-4116.6565914018,NA,0.08988996624854,4.58955468428497,0.00623731636531289,0.00623731636531289,-0.00518397254656096,0.00518397254656096,0.0373416421323216,0.144213487429236
"n500_d4_nbi_signal2",500,4,2,"gamlss",-4484.93816996039,21.0000000244551,0.14286905443136,13.1937885720602,0.630153184822912,0.630153184822912,0.648074183722573,0.648074183722573,0.071621302979597,0.263027204293062
"n500_d4_nbi_signal2",500,4,2,"ours_rs_joint",-4074.23302234248,NA,0.0942254756928845,5.06537937830319,-0.0391241600640923,0.0391241600640923,-0.0398890657661257,0.0398890657661257,0.0390420640806926,0.149418462474466
"n500_d4_nbi_signal2",500,4,3,"gamlss",-4369.36092337308,21.0000001568089,0.133305841447487,12.7473257078449,0.611298701290573,0.611298701290573,0.640997133870413,0.640997133870413,0.0711944731336374,0.264831903117608
"n500_d4_nbi_signal2",500,4,3,"ours_rs_joint",-3980.02846579272,NA,0.0838347378839178,4.49358940821707,-0.0318293033714524,0.0318293033714524,-0.0265500057310023,0.0265500057310023,0.0393674963913851,0.14981387158546
"n500_d4_nbi_signal2",500,4,4,"gamlss",-4357.06241917255,21.0000000935061,0.145290841972377,14.2611478735242,0.634341792669263,0.634341792669263,0.645615034132051,0.645615034132051,0.0754648391495289,0.276767698443962
"n500_d4_nbi_signal2",500,4,4,"ours_rs_joint",-3954.93897995726,NA,0.104338079384313,6.05347734055127,-0.00474905466816529,0.00474905466816529,-0.0169680283328085,0.0169680283328085,0.0434657405178242,0.16304622337202
"n500_d4_nbi_signal2",500,4,5,"gamlss",-4439.75437647504,21.0000436665948,0.134272461422991,12.4952570555284,0.615912171468651,0.615912171468651,0.629890156640219,0.629890156640219,0.0707647216192646,0.26252425146837
"n500_d4_nbi_signal2",500,4,5,"ours_rs_joint",-4064.08085964859,NA,0.0985975317954493,4.90944419200105,-0.00938334103046156,0.00938334103046156,-0.0148021125379213,0.0148021125379213,0.0383282624325942,0.150654781124031
