"model","parameter","term","rep","estimate","std_error","true_value"
"gamlss","sigma","time_scaled",5,-0.0817216178310973,0.138279272131003,0.08
"ours_rs_joint","mu","intercept",5,1.09792304782286,0.0524594874075411,1.1
"ours_rs_joint","mu","x1",5,0.147233942467204,0.0341362425038344,0.18
"ours_rs_joint","mu","x2",5,-0.146793415072172,0.0642311753795445,-0.12
"ours_rs_joint","mu","time_scaled",5,0.115745631532778,0.0534051379086661,0.1
"ours_rs_joint","sigma","intercept",5,-0.456111554115933,0.0947325862028718,-0.45
"ours_rs_joint","sigma","x1",5,0.0519592049140196,0.0578068788479022,0.1
"ours_rs_joint","sigma","time_scaled",5,0.00767960673367101,0.135560430536948,0.08
"ours_rs_joint","theta","intercept",5,0.700427268275377,0.0443081829566598,0.7
"ours_rs_joint","theta","time_scaled",5,0.312692536211358,0.101427062350234,0.2
"gamlss","mu","intercept",6,1.61870598707739,0.0597465949257691,1.1
"gamlss","mu","x1",6,0.228489323045405,0.024908994676476,0.18
"gamlss","mu","x2",6,-0.127665768687907,0.0462678306475426,-0.12
"gamlss","mu","time_scaled",6,0.159825585035876,0.0617902066352403,0.1
"gamlss","sigma","intercept",6,-0.342114929213255,0.115662591273255,-0.45
"gamlss","sigma","x1",6,0.184906049017889,0.0569394206572051,0.1
"gamlss","sigma","time_scaled",6,0.130621901057682,0.140260531742482,0.08
"ours_rs_joint","mu","intercept",6,1.04199383210271,0.0569046385816563,1.1
"ours_rs_joint","mu","x1",6,0.221048115495236,0.0367825194621865,0.18
"ours_rs_joint","mu","x2",6,-0.13133831208993,0.0675719416300498,-0.12
"ours_rs_joint","mu","time_scaled",6,0.15185231840413,0.0556553306139839,0.1
"ours_rs_joint","sigma","intercept",6,-0.383153920445715,0.097248332753524,-0.45
"ours_rs_joint","sigma","x1",6,0.0848837767955943,0.0588722264324445,0.1
"ours_rs_joint","sigma","time_scaled",6,0.108636522498763,0.135152731193461,0.08
"ours_rs_joint","theta","intercept",6,0.723079781598357,0.0450597669165765,0.7
"ours_rs_joint","theta","time_scaled",6,0.294640553258031,0.0966122292925363,0.2
"gamlss","mu","intercept",7,1.71299381383292,0.05911250118257,1.1
"gamlss","mu","x1",7,0.185880071291189,0.0248104297306568,0.18
"gamlss","mu","x2",7,-0.147924835954333,0.0452339173648372,-0.12
"gamlss","mu","time_scaled",7,0.0257121153645271,0.0606221184027252,0.1
"gamlss","sigma","intercept",7,-0.194833416291049,0.116349877876164,-0.45
"gamlss","sigma","x1",7,0.173738315858602,0.0567887201014202,0.1
"gamlss","sigma","time_scaled",7,-0.0700587192666638,0.141075640082083,0.08
"ours_rs_joint","mu","intercept",7,1.13646637356185,0.0568373953932873,1.1
"ours_rs_joint","mu","x1",7,0.197631037337578,0.0367277460957638,0.18
"ours_rs_joint","mu","x2",7,-0.146879506204661,0.0669911458956543,-0.12
"ours_rs_joint","mu","time_scaled",7,0.0218315548080664,0.0526944509960782,0.1
"ours_rs_joint","sigma","intercept",7,-0.363899978354679,0.0956774483564009,-0.45
"ours_rs_joint","sigma","x1",7,0.179122008921327,0.0582029637416326,0.1
"ours_rs_joint","sigma","time_scaled",7,-0.0819342417742138,0.138751641038856,0.08
"ours_rs_joint","theta","intercept",7,0.77276254753046,0.0445544603567916,0.7
"ours_rs_joint","theta","time_scaled",7,0.324530818019409,0.0956487230855834,0.2
"gamlss","mu","intercept",8,1.53907605289571,0.0584177665501118,1.1
"gamlss","mu","x1",8,0.17672357663811,0.0226702589933645,0.18
"gamlss","mu","x2",8,-0.139925164852373,0.0452499932854665,-0.12
"gamlss","mu","time_scaled",8,0.128392627452046,0.0608286503975577,0.1
"gamlss","sigma","intercept",8,-0.39994778544834,0.119475256569195,-0.45
"gamlss","sigma","x1",8,0.0955684289349464,0.0524134689123466,0.1
"gamlss","sigma","time_scaled",8,0.285254118092451,0.141996179940853,0.08
"ours_rs_joint","mu","intercept",8,1.06452447466935,0.0527784968354493,1.1
"ours_rs_joint","mu","x1",8,0.170218403324602,0.0354137223462704,0.18
"ours_rs_joint","mu","x2",8,-0.135158388277047,0.066478159735859,-0.12
"ours_rs_joint","mu","time_scaled",8,0.162941846176567,0.0537864943815942,0.1
"ours_rs_joint","sigma","intercept",8,-0.478195728102799,0.0990906432203406,-0.45
"ours_rs_joint","sigma","x1",8,0.0657158743354388,0.0570400082229629,0.1
"ours_rs_joint","sigma","time_scaled",8,0.22319406751602,0.135462073262791,0.08
"ours_rs_joint","theta","intercept",8,0.740677761419354,0.0446784223588223,0.7
"ours_rs_joint","theta","time_scaled",8,0.33216439376457,0.0979603892741247,0.2
"gamlss","mu","intercept",9,1.62266054540216,0.056983234385432,1.1
"gamlss","mu","x1",9,0.264913038303252,0.0215321542440389,0.18
"gamlss","mu","x2",9,-0.0518982533983653,0.0426288294405197,-0.12
"gamlss","mu","time_scaled",9,0.172016932207534,0.0572608818588598,0.1
"gamlss","sigma","intercept",9,-0.679875122149513,0.128241906511976,-0.45
"gamlss","sigma","x1",9,0.0771863157960324,0.0577963666818482,0.1
"gamlss","sigma","time_scaled",9,0.245374791268724,0.149136420535196,0.08
"ours_rs_joint","mu","intercept",9,0.993387001805804,0.0496787068140133,1.1
"ours_rs_joint","mu","x1",9,0.26016251795184,0.0320307812078184,0.18
"ours_rs_joint","mu","x2",9,-0.00872320305907634,0.0619758727169173,-0.12
"ours_rs_joint","mu","time_scaled",9,0.169536464301983,0.0516946777080999,0.1
"ours_rs_joint","sigma","intercept",9,-0.695700507644989,0.105880131982985,-0.45
"ours_rs_joint","sigma","x1",9,0.0755040730961481,0.0599901387581659,0.1
"ours_rs_joint","sigma","time_scaled",9,0.214995812815762,0.147336743669236,0.08
"ours_rs_joint","theta","intercept",9,0.65224316130997,0.0440803477359114,0.7
"ours_rs_joint","theta","time_scaled",9,0.418761266647202,0.0966849688909898,0.2
"gamlss","mu","intercept",10,1.60236245266218,0.0532074049356091,1.1
"gamlss","mu","x1",10,0.193519874941731,0.0223452609820101,0.18
"gamlss","mu","x2",10,-0.0561781094792392,0.043554231192569,-0.12
"gamlss","mu","time_scaled",10,-0.00670300268464127,0.0579002825722966,0.1
"gamlss","sigma","intercept",10,-0.444078482790612,0.115176173687543,-0.45
"gamlss","sigma","x1",10,0.0349094019730482,0.0552229655475906,0.1
"gamlss","sigma","time_scaled",10,0.253451909322692,0.140666708036555,0.08
"ours_rs_joint","mu","intercept",10,1.13451542541406,0.050048581410137,1.1
"ours_rs_joint","mu","x1",10,0.200275978828797,0.0337046451043999,0.18
"ours_rs_joint","mu","x2",10,-0.0825018232033158,0.0634821658676099,-0.12
"ours_rs_joint","mu","time_scaled",10,0.00180653447690668,0.0537827186482227,0.1
"ours_rs_joint","sigma","intercept",10,-0.647243684225553,0.0986233484527472,-0.45
"ours_rs_joint","sigma","x1",10,0.0839761547307648,0.0589998044021622,0.1
