"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse"
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",28,0.0578203429196988,0.0672972097353962
"n500_d4_nbi_signal2","gamlss",500,4,"mu",29,0.0759113168883133,0.0862585437185234
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",29,0.0563215632632932,0.0650534517386693
"n500_d4_nbi_signal2","gamlss",500,4,"mu",30,0.0527702709528276,0.0624556755145475
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",30,0.0397981416754461,0.0600581375610489
"n500_d4_nbi_signal2","gamlss",500,4,"mu",31,0.0606706312352377,0.074596005506274
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",31,0.053601006548184,0.0649539824969663
"n500_d4_nbi_signal2","gamlss",500,4,"mu",32,0.0663291176503903,0.0727504237121732
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",32,0.0583892962782143,0.0645935657589106
"n500_d4_nbi_signal2","gamlss",500,4,"mu",33,0.0616997310949667,0.070045858346413
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",33,0.0644495513055578,0.0734749793676258
"n500_d4_nbi_signal2","gamlss",500,4,"mu",34,0.0497907237681163,0.0600384760445521
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",34,0.0388417570624625,0.0434436444227095
"n500_d4_nbi_signal2","gamlss",500,4,"mu",35,0.0474567620041927,0.0534818560593065
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",35,0.0414664467250206,0.0479223308592687
"n500_d4_nbi_signal2","gamlss",500,4,"mu",36,0.11689482878919,0.143270353641248
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",36,0.0997397444184236,0.124660351126498
"n500_d4_nbi_signal2","gamlss",500,4,"mu",37,0.0588025575490769,0.0781621850258628
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",37,0.0368518365650245,0.0571716251378502
"n500_d4_nbi_signal2","gamlss",500,4,"mu",38,0.0706349675253337,0.0848572934736571
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",38,0.0594485757895001,0.0734546116037226
"n500_d4_nbi_signal2","gamlss",500,4,"mu",39,0.0917997836870435,0.114486017427404
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",39,0.071261298965616,0.0848886413442269
"n500_d4_nbi_signal2","gamlss",500,4,"mu",40,0.0705390342067004,0.0902478738975436
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",40,0.0669719183762228,0.0852587982844229
"n500_d4_nbi_signal2","gamlss",500,4,"mu",41,0.0612382430436709,0.0748793542837463
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",41,0.061577111754992,0.0746810052253331
"n500_d4_nbi_signal2","gamlss",500,4,"mu",42,0.0591093620368415,0.0652007041571257
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",42,0.0530982641946959,0.0598592833065134
"n500_d4_nbi_signal2","gamlss",500,4,"mu",43,0.0195915378824439,0.0233703626844246
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",43,0.0141927541222115,0.0175892449402654
"n500_d4_nbi_signal2","gamlss",500,4,"mu",44,0.0658021907764086,0.0856206031707357
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",44,0.0615040032777174,0.086770698182559
"n500_d4_nbi_signal2","gamlss",500,4,"mu",45,0.0462149600107055,0.0611319284118671
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",45,0.0430486365950538,0.0582900368127303
"n500_d4_nbi_signal2","gamlss",500,4,"mu",46,0.0585909882595755,0.0711441413940804
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",46,0.0536876396258316,0.0645335579804413
"n500_d4_nbi_signal2","gamlss",500,4,"mu",47,0.0749602566237338,0.0881934846909164
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",47,0.0745444040801595,0.0874863036664617
"n500_d4_nbi_signal2","gamlss",500,4,"mu",48,0.0542443557651772,0.0694236444900698
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",48,0.0389071034560765,0.048187483092092
"n500_d4_nbi_signal2","gamlss",500,4,"mu",49,0.0663682106672462,0.0746196386628594
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",49,0.0502084815953659,0.0636695986511563
"n500_d4_nbi_signal2","gamlss",500,4,"mu",50,0.0778619697019592,0.0963187045099443
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",50,0.0779517133581479,0.0930985365414202
"n500_d4_nbi_signal2","gamlss",500,4,"mu",51,0.0729851279856994,0.0894087179058771
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",51,0.0596530316092359,0.0754161255268506
"n500_d4_nbi_signal2","gamlss",500,4,"mu",52,0.0466187527254192,0.0556252365218217
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",52,0.0459422212212264,0.056598802207404
"n500_d4_nbi_signal2","gamlss",500,4,"mu",53,0.0733812366521872,0.0921549996851889
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",53,0.0788541563295503,0.0897619820299893
"n500_d4_nbi_signal2","gamlss",500,4,"mu",54,0.074240062677948,0.0879003757390179
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",54,0.0589268501870928,0.0719394181411692
"n500_d4_nbi_signal2","gamlss",500,4,"mu",55,0.0618419397484378,0.0778655663662224
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",55,0.0497487821456285,0.063697020168677
"n500_d4_nbi_signal2","gamlss",500,4,"mu",56,0.0469081535381994,0.0583719911082753
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",56,0.0273619431089284,0.036452119356559
"n500_d4_nbi_signal2","gamlss",500,4,"mu",57,0.0584853979053738,0.069666473794369
