"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse"
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",40,0.0781550063224447,0.0917896360600992
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",41,0.135780208189422,0.15824995750765
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",41,0.0846663977174019,0.114093987332936
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",42,0.175328019947585,0.198519566899781
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",42,0.0567181702035683,0.0758875467455673
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",43,0.231117863224984,0.272666380783976
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",43,0.197683335607904,0.250056639223498
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",44,0.0745359073083325,0.0879082593650856
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",44,0.0414730306337055,0.0546561104329999
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",45,0.122354412136866,0.140592763059276
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",45,0.0987161703726532,0.121188601150665
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",46,0.188381020756312,0.235991885627352
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",46,0.0934355429438205,0.108307847976429
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",47,0.150276359066287,0.18938945794682
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",47,0.126449729969541,0.151962292027793
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",48,0.123703352714034,0.138999068196162
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",48,0.0756201460463093,0.0932533180174246
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",49,0.0910770732271157,0.108819605314024
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",49,0.0466179193502488,0.0507593808054774
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",50,0.107989544949315,0.126336150575181
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",50,0.0321751153179405,0.0394654559335852
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",51,0.186742729149137,0.213416553392772
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",51,0.156980784211612,0.182661299826602
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",52,0.229608107430189,0.278231644200418
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",52,0.20342933499323,0.23067911832233
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",53,0.196534335072784,0.247559410258108
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",53,0.148257675558686,0.163196399646825
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",54,0.139817187903821,0.160846880086864
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",54,0.0814787915428902,0.0956346313923147
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",55,0.109902368223986,0.118688187026496
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",55,0.0911965701532026,0.103052800835096
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",56,0.259981897595058,0.35842084548601
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",56,0.142570371004056,0.200760776755088
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",57,0.15405549956602,0.181912183728947
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",57,0.0915817630869517,0.101177082436363
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",58,0.0947539327935427,0.111200415921828
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",58,0.0915194421650096,0.102158166702402
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",59,0.106818504355401,0.122709863753361
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",59,0.0966281381302727,0.108531328167663
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",60,0.167921099223614,0.204261569803966
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",60,0.0920703888413962,0.128518404258691
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",61,0.121030384724148,0.143462446353365
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",61,0.0942598529152436,0.105621322800111
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",62,0.119459319116287,0.158832913216032
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",62,0.106281228134626,0.12807858911701
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",63,0.13811039355795,0.184604190825765
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",63,0.0714166389664502,0.091258934207403
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",64,0.200715100520231,0.234379445185945
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",64,0.174669671011024,0.214800533194562
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",65,0.117011786879053,0.160442225721893
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",65,0.0527138397935437,0.0764361202436415
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",66,0.131564700497573,0.171052050183307
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",66,0.120300578516158,0.137030909616465
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",67,0.179113561790926,0.222632664713754
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",67,0.182036518550677,0.213394136959945
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",68,0.125989161256903,0.154316389624298
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",68,0.0830694781039603,0.0957089140634545
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",69,0.143141493546659,0.168860838007876
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",69,0.070572358832233,0.0957132233832018
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",70,0.203378360700636,0.237787604655185
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",70,0.113639177624676,0.137818491837772
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",71,0.134988863273481,0.160430416716766
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",71,0.0764916615447193,0.0851233314953451
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",72,0.165555096238142,0.19742248842009
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",72,0.125453577213466,0.145745326166796
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",73,0.159074073964218,0.195865293559181
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",73,0.140334388545007,0.170269908783069
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",74,0.188051321200932,0.219565749383702
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",74,0.131399399013892,0.159509937514553
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",75,0.152080867281972,0.180701619624848
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",75,0.0578444417180799,0.072822674543468
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",76,0.102312710314999,0.120639576230359
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",76,0.0536478433780199,0.069061774740613
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",77,0.120762641652077,0.148620607806274
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",77,0.0709081200666479,0.0838625623115683
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",78,0.116366604253706,0.141059911522633
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",78,0.0776566870000963,0.0919493593758387
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",79,0.163388528935085,0.195255943421736
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",79,0.115463047211601,0.149905506097076
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",80,0.0953853702292144,0.108825749037405
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",80,0.0871993106442716,0.0983305672865949
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",81,0.132915199718892,0.158538441743854
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",81,0.105998523100763,0.12451142499462
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",82,0.11256761387152,0.129874121753784
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",82,0.060407226280326,0.0711252907019436
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",83,0.135313960335646,0.158297401891435
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",83,0.125279132991207,0.141882001574295
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",84,0.152531071283372,0.170583693166352
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",84,0.122244838863411,0.13665475630247
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",85,0.145041303706306,0.162655810169107
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",85,0.111818570186046,0.133231640477281
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",86,0.136852447306893,0.162884242140356
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",86,0.0986561165254147,0.111678618522442
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",87,0.218752263473375,0.245380479274359
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",87,0.187506270493684,0.212073677898454
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",88,0.175311384294353,0.205558633367647
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",88,0.130082089744886,0.147721883378963
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",89,0.0884742334042233,0.114335638429447
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",89,0.0557298987138436,0.0634650242037636
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",90,0.0903465050796932,0.125278474828934
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",90,0.0442741849297878,0.050700625338534
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",91,0.182125975704804,0.205757981816371
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",91,0.154947210081279,0.167954066204861
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",92,0.12729904710026,0.180779962022872
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",92,0.102567505660269,0.133401779801076
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",93,0.126175364495015,0.149435232859028
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",93,0.107030284745189,0.119117734114278
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",94,0.0868818688943276,0.111920400365671
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",94,0.0952538084932886,0.110407217855549
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",95,0.103819378956222,0.119664645874941
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",95,0.0799511724342805,0.087735261013109
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",96,0.135389330326062,0.167449270781455
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",96,0.0725417034455637,0.0838355978687637
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",97,0.185405574764695,0.224310590863362
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",97,0.169057093493163,0.203954546904863
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",98,0.159397262374693,0.192538118629358
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",98,0.0836208629388394,0.0966417146046332
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",99,0.228249617022228,0.280807186487017
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",99,0.0623693218953857,0.0741727778016447
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",100,0.197212693752728,0.235273680274663
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",100,0.144459854538245,0.168625630504571
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",1,0.0422281474265033,0.0509952741681196
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",2,0.0689842451100994,0.0820403001726908
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",3,0.0504845301815185,0.0689919098676675
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",4,0.071994192727948,0.082019616490514
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",5,0.051444343472307,0.0689472238244738
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",6,0.047425067750745,0.0553808725740897
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",7,0.0331685932108515,0.0421927808535167
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",8,0.056478976891394,0.0685970046175108
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",9,0.0452533855221048,0.053406491973088
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",10,0.0446476238895447,0.0548322367221572
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",11,0.0444061745406729,0.0677345622268987
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",12,0.0574807927108934,0.071296005690249
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",13,0.03656664384808,0.0468916350189906
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",14,0.0641005211780088,0.0887804014174835
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",15,0.0497126974677958,0.0607560440810062
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",16,0.079308202104836,0.112213895455475
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",17,0.0636949779382239,0.0770234728577144
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",18,0.0368233011866502,0.0478504836230296
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",19,0.0908297584284771,0.10458178895954
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",20,0.0896420427368628,0.101818460821931
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",21,0.0423015888566847,0.0512178155734881
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",22,0.0387238930694085,0.0554225065642767
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",23,0.0615180712660724,0.101602608640076
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",24,0.0894583056140669,0.0998314164490239
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",25,0.0253165777679063,0.0396426496742071
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",26,0.0371449134152195,0.0459725697816887
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",27,0.0503431019314094,0.0637735254917648
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",28,0.0601954861166191,0.0671180253991908
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",29,0.0925114150526997,0.112363534998997
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",30,0.0582514231602346,0.0659479054168512
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",31,0.0264844394396661,0.0348870140249094
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",32,0.055838524953009,0.0648740818039049
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",33,0.0427911204717193,0.0486663731870876
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",34,0.0746673088969203,0.100275696556515
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",35,0.0575355486085399,0.0658906923147927
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",36,0.0531796474858963,0.0827950004901236
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",37,0.035699972888019,0.0498007295127376
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",38,0.0466352720371061,0.0651408280816137
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",39,0.0451425964881887,0.0624018299809994
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",40,0.0484097321657715,0.0607840461873022
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",41,0.059861762536981,0.0802881716728057
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",42,0.0274436624495074,0.0308739987497015
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",43,0.0450376794091947,0.053978819283189
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",44,0.0512392289663172,0.0578678778217614
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",45,0.0419115046502798,0.050531125439986
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",46,0.0341742058785495,0.0385025163581731
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",47,0.0618394228729464,0.0780748359519457
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",48,0.0633879814934756,0.0712396309994569
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",49,0.0221684369281655,0.026338052597116
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",50,0.0326445147081926,0.0427033478566693
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",51,0.0637061172328081,0.080289939647284
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",52,0.090185076827826,0.103554115128755
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",53,0.0486624059269034,0.0574986292287778
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",54,0.0621814843026469,0.0820785997967153
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",55,0.0388514480629596,0.0465965612547428
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",56,0.0498252161854174,0.068907293579959
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",57,0.0192938326373168,0.0236179722181104
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",58,0.0297594921395802,0.0333657910180982
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",59,0.0494201299058221,0.0557913336296866
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",60,0.0375037524585065,0.0462528156832697
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",61,0.0513217135089249,0.0707723017172081
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",62,0.0648800428148977,0.069944569117862
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",63,0.0193536384761084,0.0252550673929041
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",64,0.06641960804852,0.0795724285671215
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",65,0.0693587044098742,0.0919335283852908
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",66,0.0733433651311722,0.0858481656066535
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",67,0.0456878292309197,0.0571615870856911
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",68,0.0601027240873116,0.0668650593127328
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",69,0.0305543100892942,0.0407720839493338
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",70,0.036130238100796,0.0419865397750601
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",71,0.0649831646326167,0.100789327848172
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",72,0.047521051326099,0.057822219124897
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",73,0.0491173553574338,0.0635438426013053
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",74,0.021963062832701,0.0270515247451375
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",75,0.0712793966137958,0.0914916913122542
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",76,0.0446588385097842,0.054040886194479
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",77,0.0320145130963129,0.0516091723665232
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",78,0.0518935538267414,0.0646886725327142
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",79,0.0479913246475532,0.0573116095669189
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",80,0.0212538823359927,0.0348024460937624
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",81,0.0431181653571122,0.0528793789511922
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",82,0.0268723112591269,0.0395088973859666
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",83,0.0543206179026164,0.0660717725281457
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",84,0.0589422743510921,0.066654302149087
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",85,0.0505307336819514,0.058363098476127
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",86,0.0620048066168852,0.0763414820673699
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",87,0.0509239703443354,0.0629612557519665
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",88,0.0472259475004865,0.05396950221375
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",89,0.0485303769615541,0.0547606628195279
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",90,0.0474284640926276,0.0542112291288514
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",91,0.0627467489853047,0.0693825966149092
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",92,0.0303329944226865,0.0367719889258121
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",93,0.0292845813082583,0.0335920184962294
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",94,0.0479356228277037,0.0623199887081707
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",95,0.0693209514800873,0.0876428599121809
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",96,0.039518721761808,0.0557455192613044
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",97,0.0531787987013333,0.0756020865937114
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",98,0.056945301314265,0.0687205705781898
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",99,0.0334185761784573,0.0437912823847181
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"theta",100,0.0262400091050884,0.0353385461569317
