"artifact_id","artifact_type","manuscript_path","manuscript_label","producer","profiles","input_bundle","access","publication_status","verification","approved_sha256","generated_path"
"tab_corr_external","table","tables/08-simulation-sensitivity-correlation-misspecification-external-correlation","tab:corr-external","module_08_correlation_misspecification","paper|full","correlation-misspecification","public","retired","canonical_sha256","9639f613d96ca3a59ada261c81144581c8432b9639ebe1f9663139f1e9e717f5","tables/08-simulation-sensitivity-correlation-misspecification-external-correlation.tex"
"tab_corr_flexible","table","tables/08-simulation-sensitivity-correlation-misspecification-flexible-correlation","tab:corr-flexible","module_08_correlation_misspecification","paper|full","correlation-misspecification","public","retired","canonical_sha256","49dc67c96875726bbfb492751a68bc61122e46b48bef53595e20ba14be4ebb38","tables/08-simulation-sensitivity-correlation-misspecification-flexible-correlation.tex"
"static_orcid","figure","orcid.pdf","static:orcid","static_nondata","","none","non-data-static","active","approved_static_hash","06e283aedd17de29af9549f052c87f6f56b3d3405bafc930059c39febca0854b",""
"inline_software_comparison","inline_table","inline:tab:r-software-comparison","tab:r-software-comparison","static_nondata","","none","non-data-static","active","manual","",""
"inline_copula_families","inline_table","inline:tab:copula_families","tab:copula_families","static_nondata","","none","non-data-static","active","manual","",""
"inline_copula_tail","inline_table","inline:tab:copula_functions_tail_dependence","tab:copula_functions_tail_dependence","static_nondata","","none","non-data-static","active","manual","",""
"inline_sim_design","inline_table","inline:tab:simulation-design","tab:simulation-design","module_01_bcpe_t","paper|full","bcpe-t|nbi-clayton","public","retired","manual_until_externalized","",""
"inline_optimizer_guidance","inline_table","inline:tab:optimizer-guidance","tab:optimizer-guidance","static_nondata","","none","non-data-static","active","manual","",""
"inline_sensitivity_guidance","inline_table","inline:tab:sensitivity-guidance","tab:sensitivity-guidance","static_nondata","","none","non-data-static","active","manual","",""
"inline_jvs_design","inline_table","inline:tab:sim_jvs_scenarios","tab:sim_jvs_scenarios","module_03_joint_vs_separate","paper|full","joint-vs-separate","public","retired","manual_until_externalized","",""
"p2_recovery_attempts","data","evidence/main-recovery/attempt_metadata.csv","phase2:recovery-attempts","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/attempt_metadata.csv"
"p2_recovery_design","table","tables/phase2-main-recovery-design.csv","phase2:recovery-design","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/design_table.csv"
"p2_recovery_status","table","tables/phase2-main-recovery-attempt-status.csv","phase2:recovery-status","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/attempt_status_summary.csv"
"p2_recovery_failures","table","tables/phase2-main-recovery-failures.csv","phase2:recovery-failures","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/failure_reason_summary.csv"
"p2_recovery_fixed","table","tables/phase2-main-recovery-fixed.csv","phase2:recovery-fixed","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/fixed_parameter_recovery.csv"
"p2_recovery_smooth","table","tables/phase2-main-recovery-smooth.csv","phase2:recovery-smooth","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/smooth_recovery.csv"
"p2_recovery_runtime","table","tables/phase2-main-recovery-runtime.csv","phase2:recovery-runtime","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/runtime_summary.csv"
"p2_recovery_predictive","table","tables/phase2-main-recovery-predictive.csv","phase2:recovery-predictive","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/predictive_metrics.csv"
"p2_recovery_diagnostics","table","tables/phase2-main-recovery-diagnostics.csv","phase2:recovery-diagnostics","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/diagnostic_metrics.csv"
"p2_recovery_t_shape","table","tables/phase2-main-recovery-t-shape.csv","phase2:recovery-t-shape","module_phase2_main_recovery","paper|full","main-recovery","public","active","canonical_sha256","","data/main-recovery/weak_t_copula_shape_recovery.csv"
